Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Marvin Jones,2019,29,25.5,199,74,13,11,91,62,68.1,WR,131.9,151.8,53,3,-3,-2.1000000000000014,-2,2.5,1.9499999999999886,-3,-16,-0.5
Chris Godwin,2019,23,27.6,209,73,14,14,121,86,71.1,WR,190.1,126,27.19999999999999,-3,-2,0,28,26.5,4.949999999999989,0,-6,-1.5
Mike Evans,2019,26,27.4,231,77,13,13,118,67,56.8,WR,165.7,178.6,79.79999999999998,0,-3,-0.20000000000000284,25,7.5,-9.350000000000009,-1,16,2.5
DJ Chark,2019,23,25,200,75,15,14,118,73,61.9,WR,152.8,100.6,1.799999999999983,-3,-1,-2.6000000000000014,25,13.5,-4.250000000000007,0,-15,0.5
A.J. Brown,2019,22,29.8,226,73,16,11,84,52,61.9,WR,165.1,177.5,78.69999999999999,-4,0,2.1999999999999993,-9,-7.5,-4.250000000000007,-3,11,-1.5
Amari Cooper,2019,25,27.8,211,73,16,16,119,79,66.4,WR,167.5,144.8,46,-1,0,0.1999999999999993,26,19.5,0.25,2,-4,-1.5
Darius Slayton,2019,22,26.1,198,73,14,9,84,48,57.1,WR,122,91,-7.800000000000011,-4,-2,-1.5,-9,-11.5,-9.050000000000004,-5,-17,-1.5
Tyler Lockett,2019,27,26.1,182,70,16,16,110,82,74.5,WR,153.2,165.4,66.6,1,0,-1.5,17,22.5,8.349999999999994,2,-33,-4.5
Darren Fells,2019,33,30.4,270,79,16,14,48,34,70.8,TE,76.1,55.2,-43.60000000000001,7,0,2.799999999999997,-45,-25.5,4.6499999999999915,0,55,4.5
D.K. Metcalf,2019,22,28.6,235,76,16,15,100,58,58,WR,129.1,188.3,89.5,-4,0,1,7,-1.5,-8.150000000000006,1,20,1.5
Allen Robinson,2019,26,28.2,220,74,16,15,154,98,63.6,WR,156.9,160.9,62.099999999999994,0,0,0.5999999999999979,61,38.5,-2.5500000000000043,1,5,-0.5
DeAndre Hopkins,2019,27,28.8,218,73,15,15,150,104,69.3,WR,164.5,172.8,74,1,-1,1.1999999999999993,57,44.5,3.1499999999999915,1,3,-1.5
Calvin Ridley,2019,25,25.1,190,73,13,10,93,63,67.7,WR,134,191.5,92.69999999999999,-1,-3,-2.5,0,3.5,1.5499999999999972,-4,-25,-1.5
Terry McLaurin,2019,24,28.5,210,72,14,14,93,58,62.4,WR,133.9,136.8,38,-2,-2,0.8999999999999986,0,-1.5,-3.750000000000007,0,-5,-2.5
Tyreek Hill,2019,25,27.4,191,70,12,12,89,58,65.2,WR,130.3,241.9,143.1,-1,-4,-0.20000000000000284,-4,-1.5,-0.9500000000000028,-2,-24,-4.5
Marquise Brown,2019,22,26.6,180,69,14,11,71,46,64.8,WR,100.4,125,26.19999999999999,-4,-2,-1,-22,-13.5,-1.3500000000000085,-3,-35,-5.5
Kyle Rudolph,2019,30,30.6,265,78,16,16,48,39,81.3,TE,74.7,37.4,-61.40000000000001,4,0,3,-45,-20.5,15.149999999999991,2,50,3.5
Zach Ertz,2019,29,29.6,250,77,15,15,135,88,65.2,TE,127.6,41.5,-57.30000000000001,3,-1,2,42,28.5,-0.9500000000000028,1,35,2.5
Austin Hooper,2019,25,30.9,254,76,13,10,97,75,77.3,TE,116.7,67.5,-31.30000000000001,-1,-3,3.299999999999997,4,15.5,11.149999999999991,-4,39,1.5
Julio Jones,2019,30,27.5,220,75,15,15,157,99,63.1,WR,175.1,95.1,-3.700000000000017,4,-1,-0.10000000000000142,64,39.5,-3.0500000000000043,1,5,0.5
Keenan Allen,2019,27,27.1,211,74,16,16,149,104,69.8,WR,157.5,145.1,46.29999999999998,1,0,-0.5,56,44.5,3.6499999999999915,2,-4,-0.5
Adam Thielen,2019,29,25,195,74,10,10,48,30,62.5,WR,84.4,180,81.19999999999999,3,-6,-2.6000000000000014,-45,-29.5,-3.6500000000000057,-4,-20,-0.5
Michael Gallup,2019,23,26.1,198,73,14,12,113,66,58.4,WR,146.7,114.3,15.499999999999986,-3,-2,-1.5,20,6.5,-7.750000000000007,-2,-17,-1.5
Stefon Diggs,2019,26,25.9,191,72,15,15,94,63,67,WR,149.1,201.6,102.79999999999998,0,-1,-1.7000000000000028,1,3.5,0.8499999999999943,1,-24,-2.5
John Brown,2019,29,24.8,178,71,15,15,115,72,62.6,WR,147.8,63.8,-35.000000000000014,3,-1,-2.8000000000000007,22,12.5,-3.5500000000000043,1,-37,-3.5
Jarvis Landry,2019,27,27.3,196,71,16,16,138,83,60.1,WR,154.4,116,17.19999999999999,1,0,-0.3000000000000007,45,23.5,-6.050000000000004,2,-19,-3.5
Cole Beasley,2019,30,26.5,174,68,15,10,106,67,63.2,WR,117.8,125.5,26.69999999999999,4,-1,-1.1000000000000014,13,7.5,-2.950000000000003,-4,-41,-6.5
Dallas Goedert,2019,24,30.4,256,77,15,9,87,58,66.7,TE,86.7,70.4,-28.400000000000006,-2,-1,2.799999999999997,-6,-1.5,0.5499999999999972,-5,41,2.5
Hunter Henry,2019,25,30.6,258,77,12,12,76,55,72.4,TE,95.2,85.3,-13.500000000000014,-1,-4,3,-17,-4.5,6.25,-2,43,2.5
